INDNO,YYYYMMDD,DlyCalDt,DlyTotRet,DlyTotInd,DlyPrcRet,DlyPrcInd,DlyIncRet,DlyIncInd,DlyUsdCnt,DlyUsdVal,DlyTotCnt,DlyTotVal,DlyEligCnt,DlyWgtAmt,INDFAM,IndFamType,IndNm,IndBegDt,IndEndDt,BaseLvl,BaseDt,FreqAvail,WeightType,CntValType,PortNum
1000502,20050920,2005-09-20,,,-0.007863,1221.34,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19840531,1984-05-31,,,0.001330,150.55,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20060926,2006-09-26,,,0.007517,1336.34,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19680201,1968-02-01,,,0.003469,92.56,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20071003,2007-10-03,,,-0.004552,1539.59,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19850605,1985-06-05,,,0.000632,190.16,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20081008,2008-10-08,,,-0.011333,984.94,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19740416,1974-04-16,,,0.017491,93.66,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20091014,2009-10-14,,,0.017546,1092.02,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19860611,1986-06-11,,,0.006470,241.13,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20101020,2010-10-20,,,0.010524,1178.17,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19640110,1964-01-10,,,-0.000524,76.24,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20111025,2011-10-25,,,-0.020045,1229.05,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19870616,1987-06-16,,,0.005344,304.76,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20121101,2012-11-01,,,0.010926,1427.59,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19750421,1975-04-21,,,0.010776,87.23,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20131107,2013-11-07,,,-0.013183,1747.15,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19880620,1988-06-20,,,-0.006428,268.94,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
